"","Probe","NCBIid","GeneSymbol","GeneName","pvalue","corrected_pvalue","rank","contrast_84556_coefficient","contrast_84556_log2fc","contrast_84556_tstat","contrast_84556_pvalue"
"36","A_51_P315904","23882","Gadd45g","growth arrest and DNA-damage-inducible 45 gamma",9.448e-10,7.112e-07,0.0013,5.1008,5.1008,7.8764,1.231e-07
"37","A_52_P460957","12916","Crem","cAMP responsive element modulator",9.696e-10,7.112e-07,0.0013,6.0661,6.0661,10.2506,2.647e-09
"38","A_51_P505795","213233","Tapbpl","TAP binding protein-like",9.5e-10,7.112e-07,0.0013,4.4605,4.4605,8.2031,9.374e-08
"39","A_51_P483231","16452","Jak2","Janus kinase 2",1.039e-09,7.396e-07,0.0014,2.7435,2.7435,4.9947,5.655e-05
"40","A_52_P220879","21817","Tgm2","transglutaminase 2, C polypeptide",1.085e-09,7.432e-07,0.0014,5.7311,5.7311,8.7076,2.471e-08
"41","A_51_P414889","70110","Ifi35","interferon-induced protein 35",1.171e-09,7.692e-07,0.0015,5.2959,5.2959,9.7776,5.77e-09
"42","A_51_P130757","66190","Acer3","alkaline ceramidase 3",1.164e-09,7.692e-07,0.0015,4.3736,4.3736,8.9984,2.206e-08
"43","A_51_P144052","11630","Crybg1","crystallin beta-gamma domain containing 1",1.363e-09,8.785e-07,0.0016,5.2046,5.2046,9.4404,6.455e-09
"44","A_51_P101196","19186","Psme1","proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)",1.505e-09,8.864e-07,0.0017,5.1787,5.1787,7.9918,1.396e-07
"45","A_51_P359636","19039","Lgals3bp","lectin, galactoside-binding, soluble, 3 binding protein",1.503e-09,8.864e-07,0.0017,4.9734,4.9734,8.5011,5.4e-08
"46","A_51_P102789","12262","C1qc","complement component 1, q subcomponent, C chain",1.474e-09,8.864e-07,0.0016,4.1373,4.1373,6.8638,9.867e-07
"47","A_51_P169693","69550","Bst2","bone marrow stromal cell antigen 2",1.501e-09,8.864e-07,0.0016,3.3746,3.3746,4.8915,9.392e-05
"48","A_51_P125067","64685","Nmi","N-myc (and STAT) interactor",1.656e-09,9.391e-07,0.0017,6.1812,6.1812,8.7207,2.411e-08
"49","A_51_P214747","243771","Parp12","poly (ADP-ribose) polymerase family, member 12",1.677e-09,9.391e-07,0.0018,5.2663,5.2663,10.0445,6.238e-09
"50","A_52_P102931","317757","Gimap5","GTPase, IMAP family member 5",1.75e-09,9.642e-07,0.0018,4.6774,4.6774,7.0371,6.843e-07
"51","A_52_P385536","230073","Rigi","RNA sensor RIG-I",1.853e-09,1.005e-06,0.0018,4.163,4.163,7.3833,4.542e-07
"52","A_51_P316379","80290","Gpr146","G protein-coupled receptor 146",1.983e-09,1.045e-06,0.0019,4.383,4.383,6.5652,1.871e-06
"53","A_51_P381558","54153","Rasa4","RAS p21 protein activator 4",1.988e-09,1.045e-06,0.0019,4.738,4.738,6.3482,2.404e-06
"54","A_52_P495729","18414","Osmr","oncostatin M receptor",2.236e-09,1.123e-06,0.002,2.9932,2.9932,5.4102,1.812e-05
"55","A_52_P225959","30952","Cngb3","cyclic nucleotide gated channel beta 3",2.411e-09,1.174e-06,0.002,4.0353,4.0353,7.0995,8.009e-07
"56","A_51_P148814","17069","Ly6e","lymphocyte antigen 6 family member E",2.38e-09,1.174e-06,0.002,4.0603,4.0603,5.9479,7.28e-06
"57","A_51_P459108","27356","Insl6","insulin-like 6",2.51e-09,1.174e-06,0.0021,5.0036,5.0036,9.0654,1.272e-08
"58","A_51_P105124","233571","P2ry6","pyrimidinergic receptor P2Y, G-protein coupled, 6",2.469e-09,1.174e-06,0.0021,4.5657,4.5657,7.0062,7.303e-07
"59","A_51_P378789","55985","Cxcl13","C-X-C motif chemokine ligand 13",2.497e-09,1.174e-06,0.0021,4.6532,4.6532,7.2417,6.02e-07
"60","A_51_P201480","20848","Stat3","signal transducer and activator of transcription 3",2.57e-09,1.186e-06,0.0022,5.477,5.477,9.1598,1.661e-08
"61","A_51_P181722","71336","Rbks","ribokinase",2.607e-09,1.187e-06,0.0022,3.4749,3.4749,6.4647,1.849e-06
"62","A_51_P366811","11815","Apod","apolipoprotein D",2.683e-09,1.19e-06,0.0023,4.0294,4.0294,5.977,8.39e-06
"63","A_52_P350512","214855","Arid5a","AT-rich interaction domain 5A",2.863e-09,1.246e-06,0.0023,3.8856,3.8856,6.8147,1.431e-06
"64","A_52_P305279","219140","Spata13","spermatogenesis associated 13",3.064e-09,1.246e-06,0.0025,4.9344,4.9344,8.0512,6.185e-08
"65","A_51_P170807","53608","Map3k6","mitogen-activated protein kinase kinase kinase 6",3.059e-09,1.246e-06,0.0024,4.804,4.804,7.3146,5.205e-07
"66","A_52_P257590","21815","Tgif1","TGFB-induced factor homeobox 1",2.955e-09,1.246e-06,0.0024,4.7638,4.7638,8.1108,5.48e-08
"67","A_52_P77106","14103","Fasl","Fas ligand",3.038e-09,1.246e-06,0.0024,4.4579,4.4579,7.0971,6.035e-07
"68","A_52_P127130","20288","Msr1","macrophage scavenger receptor 1",2.941e-09,1.246e-06,0.0023,3.6656,3.6656,6.5958,2.251e-06
"69","A_51_P182794","21817","Tgm2","transglutaminase 2, C polypeptide",3.178e-09,1.262e-06,0.0025,4.9873,4.9873,8.941,1.6e-08
"70","A_51_P414126","19331","Rab19","RAB19, member RAS oncogene family",3.269e-09,1.283e-06,0.0025,4.014,4.014,7.9801,1.003e-07
"71","A_52_P70261","20846","Stat1","signal transducer and activator of transcription 1",3.37e-09,1.297e-06,0.0026,4.0331,4.0331,6.4287,2.516e-06
"72","A_51_P448741","22035","Tnfsf10","tumor necrosis factor (ligand) superfamily, member 10",3.379e-09,1.297e-06,0.0026,4.0212,4.0212,5.9145,1.19e-05
"73","A_51_P464710","216991","Adap2","ArfGAP with dual PH domains 2",3.632e-09,1.307e-06,0.0028,6.4169,6.4169,7.8866,1.706e-07
"74","A_51_P306839","66282","Tma16","translation machinery associated 16",3.635e-09,1.307e-06,0.0028,4.2648,4.2648,8.4518,5.911e-08
"75","A_52_P82510","18107","Nmt1","N-myristoyltransferase 1",3.545e-09,1.307e-06,0.0027,2.8327,2.8327,4.0611,6e-04
"76","A_52_P64514","67138","Herc6","hect domain and RLD 6",3.563e-09,1.307e-06,0.0027,3.4215,3.4215,5.431,3.332e-05
"77","A_51_P164686","81910","Rrbp1","ribosome binding protein 1",3.517e-09,1.307e-06,0.0026,4.3096,4.3096,7.4377,2.982e-07
"78","A_51_P129199","671535","Parp10","poly (ADP-ribose) polymerase family, member 10",3.898e-09,1.387e-06,0.0028,5.3918,5.3918,7.6359,2.766e-07
"79","A_52_P510790","230073","Rigi","RNA sensor RIG-I",4.007e-09,1.397e-06,0.0029,3.1153,3.1153,4.6131,2e-04
"80","A_52_P496503","20846","Stat1","signal transducer and activator of transcription 1",3.981e-09,1.397e-06,0.0028,4.8956,4.8956,6.9499,1.085e-06
"81","A_51_P371710","170743","Tlr7","toll-like receptor 7",4.158e-09,1.42e-06,0.0029,4.736,4.736,7.4474,4.001e-07
"82","A_51_P159503","672511","Rnf213","ring finger protein 213",4.123e-09,1.42e-06,0.0029,4.7441,4.7441,7.5981,2.978e-07
"83","A_52_P47846","14129","Fcgr1","Fc receptor, IgG, high affinity I",4.252e-09,1.438e-06,0.003,3.9247,3.9247,5.8165,1.463e-05
"84","A_52_P52357","30935","Tor3a","torsin family 3, member A",4.397e-09,1.467e-06,0.003,4.8247,4.8247,7.8274,1.911e-07
"85","A_52_P81345","12267","C3ar1","complement component 3a receptor 1",4.424e-09,1.467e-06,0.003,4.8392,4.8392,6.9077,6.925e-07
"86","A_51_P297778","231147","Sh3tc1","SH3 domain and tetratricopeptide repeats 1",4.566e-09,1.488e-06,0.003,5.4043,5.4043,8.6427,2.792e-08
"87","A_51_P217218","16193","Il6","interleukin 6",4.575e-09,1.488e-06,0.0031,3.758,3.758,5.6094,1.874e-05
"88","A_51_P246066","98365","Slamf9","SLAM family member 9",4.663e-09,1.503e-06,0.0031,3.6315,3.6315,5.2743,3.953e-05
"89","A_51_P191469","268749","Rnf31","ring finger protein 31",5.034e-09,1.549e-06,0.0032,6.0194,6.0194,7.2729,4.186e-07
"90","A_51_P463497","107702","Rnh1","ribonuclease/angiogenin inhibitor 1",4.95e-09,1.549e-06,0.0032,4.6653,4.6653,7.6887,1.792e-07
"91","A_52_P112017","12257","Tspo","translocator protein",5.011e-09,1.549e-06,0.0032,4.7594,4.7594,7.8769,1.23e-07
"92","A_52_P604629","215418","Csrnp1","cysteine-serine-rich nuclear protein 1",5.026e-09,1.549e-06,0.0032,3.8543,3.8543,5.6594,2.042e-05
"93","A_51_P405397","13601","Ecm1","extracellular matrix protein 1",4.946e-09,1.549e-06,0.0031,4.7407,4.7407,8.2289,6.162e-08
"94","A_51_P444447","12609","Cebpd","CCAAT/enhancer binding protein delta",5.197e-09,1.585e-06,0.0033,3.5209,3.5209,5.7712,1.083e-05
"95","A_51_P490305","65972","Ifi30","interferon gamma inducible protein 30",5.346e-09,1.602e-06,0.0033,5.0874,5.0874,8.0402,8.908e-08
"96","A_52_P15122","353156","Egfl7","EGF-like domain 7",5.322e-09,1.602e-06,0.0033,2.8206,2.8206,5.1169,4.223e-05
"97","A_51_P417074","73167","Arhgap8","Rho GTPase activating protein 8",5.512e-09,1.615e-06,0.0034,3.802,3.802,7.7888,1.466e-07
"98","A_51_P197213","66853","Pnpla2","patatin-like phospholipase domain containing 2",5.533e-09,1.615e-06,0.0034,3.6088,3.6088,5.1694,4.299e-05
"99","A_52_P152952","69757","Leng1","leukocyte receptor cluster (LRC) member 1",5.668e-09,1.641e-06,0.0035,3.8932,3.8932,6.4767,2.267e-06
"100","A_51_P345393","14102","Fas","Fas cell surface death receptor",5.766e-09,1.655e-06,0.0035,3.9873,3.9873,6.3311,3.929e-06
"101","A_51_P484998","15234","Hgf","hepatocyte growth factor",5.986e-09,1.676e-06,0.0036,4.2626,4.2626,7.0719,6.361e-07
"102","A_52_P573552","211770","Trib1","tribbles pseudokinase 1",5.922e-09,1.676e-06,0.0035,3.7024,3.7024,6.3116,3.251e-06
"103","A_51_P517843","384009","Glipr2","GLI pathogenesis-related 2",5.962e-09,1.676e-06,0.0035,4.3127,4.3127,7.9923,2.019e-07
"104","A_51_P282508","11853","Rhoc","ras homolog family member C",6.172e-09,1.685e-06,0.0037,5.9567,5.9567,8.929,1.635e-08
"105","A_51_P376238","12258","Serping1","serine (or cysteine) peptidase inhibitor, clade G, member 1",6.134e-09,1.685e-06,0.0036,4.9252,4.9252,8.0923,8.042e-08
"106","A_51_P144438","98999","Znfx1","zinc finger, NFX1-type containing 1",6.214e-09,1.685e-06,0.0037,4.425,4.425,7.1679,6.979e-07
"107","A_52_P389595","80898","Erap1","endoplasmic reticulum aminopeptidase 1",6.34e-09,1.705e-06,0.0037,4.8688,4.8688,6.8254,1.071e-06
"108","A_51_P307150","15930","Ido1","indoleamine 2,3-dioxygenase 1",6.681e-09,1.783e-06,0.0037,4.2175,4.2175,6.0149,6.268e-06
"109","A_51_P281013","71667","Tmem248","transmembrane protein 248",6.816e-09,1.805e-06,0.0038,3.3528,3.3528,6.0253,6.124e-06
"110","A_51_P304500","21356","Tapbp","TAP binding protein",7.036e-09,1.829e-06,0.0038,5.6131,5.6131,7.7512,1.581e-07
"111","A_52_P177260","13430","Dnm2","dynamin 2",7.07e-09,1.829e-06,0.0039,3.5839,3.5839,6.5078,1.678e-06
"112","A_51_P291906","142980","Tlr3","toll-like receptor 3",7.04e-09,1.829e-06,0.0038,3.7105,3.7105,6.0073,7.858e-06
"113","A_51_P170725","74152","Stra6l","STRA6-like",7.134e-09,1.832e-06,0.0039,3.7594,3.7594,6.359,3.703e-06
"114","A_51_P500813","16859","Lgals9","lectin, galactose binding, soluble 9",7.194e-09,1.834e-06,0.0039,4.4035,4.4035,7.3135,5.216e-07
"115","A_52_P578732","12774","Ccr5","C-C motif chemokine receptor 5",7.541e-09,1.908e-06,0.004,3.7511,3.7511,4.9658,7.933e-05
"116","A_52_P404533","15507","Hspb1","heat shock protein 1",8.038e-09,1.985e-06,0.004,3.4454,3.4454,6.4166,3.279e-06
"117","A_52_P577748","107321","Lpxn","leupaxin",7.905e-09,1.985e-06,0.004,6.2239,6.2239,7.2953,3.997e-07
"118","A_51_P454958","68742","Tmem219","transmembrane protein 219",8.047e-09,1.985e-06,0.004,4.1658,4.1658,6.6208,1.659e-06
"119","A_51_P282424","66266","Eapp","E2F-associated phosphoprotein",8.079e-09,1.985e-06,0.0041,2.9059,2.9059,4.7795,9.483e-05
"120","A_51_P100327","21354","Tap1","transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)",8.297e-09,2.01e-06,0.0041,4.5655,4.5655,6.9291,1.132e-06
"121","A_52_P668984","652925","Tmem243","transmembrane protein 243, mitochondrial",8.244e-09,2.01e-06,0.0041,4.2319,4.2319,7.0484,8.88e-07
"122","A_51_P250378","22782","Slc30a1","solute carrier family 30 (zinc transporter), member 1",8.422e-09,2.012e-06,0.0042,4.8867,4.8867,7.8869,1.206e-07
"123","A_51_P158538","22695","Zfp36","zinc finger protein 36",8.415e-09,2.012e-06,0.0042,5.3967,5.3967,9.3497,1.913e-08
"124","A_52_P272217","72075","Ogfr","opioid growth factor receptor",8.884e-09,2.093e-06,0.0042,4.7846,4.7846,7.4609,2.106e-07
"125","A_51_P135491","12633","Cflar","CASP8 and FADD-like apoptosis regulator",9.711e-09,2.244e-06,0.0043,4.1661,4.1661,6.4053,2.648e-06
"126","A_51_P395011","12018","Bak1","BCL2-antagonist/killer 1",9.724e-09,2.244e-06,0.0043,5.5538,5.5538,8.0881,1.697e-07
"127","A_51_P269216","107503","Atf5","activating transcription factor 5",9.903e-09,2.257e-06,0.0044,3.3295,3.3295,5.9113,9.675e-06
"128","A_51_P502203","230837","Asap3","ArfGAP with SH3 domain, ankyrin repeat and PH domain 3",1.004e-08,2.257e-06,0.0044,6.2983,6.2983,9.0106,2.159e-08
"129","A_52_P507382","54445","Unc93b1","unc-93 homolog B1, TLR signaling regulator",1.004e-08,2.257e-06,0.0044,3.1963,3.1963,5.0665,6.313e-05
"130","A_51_P414412","231712","Trafd1","TRAF type zinc finger domain containing 1",1.011e-08,2.257e-06,0.0045,6.1452,6.1452,7.9023,1.655e-07
"131","A_52_P505218","20846","Stat1","signal transducer and activator of transcription 1",9.95e-09,2.257e-06,0.0044,6.3858,6.3858,8.8788,4.221e-08
"132","A_52_P203833","69028","Mitd1","MIT, microtubule interacting and transport, domain containing 1",1.044e-08,2.308e-06,0.0045,3.9325,3.9325,7.0618,8.643e-07
"133","A_52_P31814","68763","1110038B12Rik","RIKEN cDNA 1110038B12 gene",1.047e-08,2.308e-06,0.0045,4.0102,4.0102,5.8774,7.057e-06
"134","A_51_P257134","56417","Adar","adenosine deaminase, RNA-specific",1.063e-08,2.312e-06,0.0046,5.106,5.106,6.1784,2.895e-06
"135","A_51_P444669","217203","Tmem106a","transmembrane protein 106A",1.061e-08,2.312e-06,0.0046,4.1669,4.1669,6.5795,2.329e-06
"136","A_52_P244682","226421","Rab7b","RAB7B, member RAS oncogene family",1.073e-08,2.312e-06,0.0046,3.4343,3.4343,6.1704,5.532e-06
"137","A_52_P200244","20773","Sptlc2","serine palmitoyltransferase, long chain base subunit 2",1.094e-08,2.335e-06,0.0047,4.6618,4.6618,6.789,1.508e-06
"138","A_52_P175685","16362","Irf1","interferon regulatory factor 1",1.109e-08,2.352e-06,0.0047,5.2922,5.2922,8.3167,5.2e-08
"139","A_51_P494122","110599566","Eef1akmt4","EEF1A lysine methyltransferase 4",1.131e-08,2.378e-06,0.0047,3.5451,3.5451,3.9847,8e-04
"140","A_52_P640484","20821","Trim21","tripartite motif-containing 21",1.142e-08,2.378e-06,0.0048,5.3077,5.3077,6.5266,3.373e-06
"141","A_51_P273921","12332","Capg","capping actin protein, gelsolin like",1.222e-08,2.529e-06,0.0048,5.1245,5.1245,8.57,3.203e-08
"142","A_52_P570266","19171","Psmb10","proteasome (prosome, macropain) subunit, beta type 10",1.243e-08,2.557e-06,0.0049,4.1066,4.1066,7.4654,5.374e-07
"143","A_51_P125716","72075","Ogfr","opioid growth factor receptor",1.288e-08,2.635e-06,0.0049,4.1417,4.1417,6.2836,3.457e-06
"144","A_51_P134844","69178","Snx5","sorting nexin 5",1.326e-08,2.696e-06,0.0049,3.7708,3.7708,6.6453,2.656e-06
"145","A_51_P238354","56193","Plek","pleckstrin",1.354e-08,2.716e-06,0.0049,4.9747,4.9747,9.0916,1.213e-08
"146","A_51_P503162","23849","Klf6","Kruppel-like transcription factor 6",1.36e-08,2.716e-06,0.005,5.3816,5.3816,7.3227,5.122e-07
"147","A_52_P598309","68949","Zfas1","zinc finger, NFX1-type containing 1, antisense RNA 1",1.43e-08,2.78e-06,0.0051,4.4377,4.4377,7.0384,9.062e-07
"148","A_52_P335609","75731","Idnk","idnK gluconokinase homolog (E. coli)",1.406e-08,2.78e-06,0.005,4.2231,4.2231,6.7083,1.782e-06
"149","A_52_P391098","12916","Crem","cAMP responsive element modulator",1.432e-08,2.78e-06,0.0052,4.4158,4.4158,7.0093,9.615e-07
"150","A_51_P387235","59027","Nampt","nicotinamide phosphoribosyltransferase",1.423e-08,2.78e-06,0.0051,5.841,5.841,6.7226,1.041e-06
"151","A_51_P319460","18414","Osmr","oncostatin M receptor",1.478e-08,2.831e-06,0.0052,5.9452,5.9452,6.3729,2.842e-06
"152","A_52_P291723","333715","H2-M10.2","histocompatibility 2, M region locus 10.2",1.485e-08,2.831e-06,0.0052,3.7671,3.7671,6.5316,2.575e-06
"153","A_51_P487518","12364","Casp12","caspase 12",1.492e-08,2.831e-06,0.0053,3.9144,3.9144,6.5293,2.587e-06
"154","A_52_P294064","667373","Ifit1bl1","interferon induced protein with tetratricpeptide repeats 1B like 1",1.529e-08,2.847e-06,0.0054,3.875,3.875,5.1878,3.567e-05
"155","A_52_P55902","16169","Il15ra","interleukin 15 receptor, alpha chain",1.519e-08,2.847e-06,0.0053,3.526,3.526,5.6238,1.274e-05
"156","A_51_P231184","16790","Anpep","alanyl aminopeptidase, membrane",1.51e-08,2.847e-06,0.0053,5.387,5.387,9.1285,1.754e-08
"157","A_52_P379256","66988","Lap3","leucine aminopeptidase 3",1.534e-08,2.847e-06,0.0054,4.0922,4.0922,6.1277,6.063e-06
"158","A_52_P50496","14972","H2-K1","histocompatibility 2, K1, K region",1.619e-08,2.974e-06,0.0054,5.232,5.232,6.3763,2.256e-06
"159","A_52_P114722","15170","Ptpn6","protein tyrosine phosphatase, non-receptor type 6",1.673e-08,3.028e-06,0.0055,4.3318,4.3318,6.9782,5.936e-07
"160","A_52_P428699","12263","C2","complement C2",1.675e-08,3.028e-06,0.0055,4.659,4.659,7.0183,5.44e-07
"161","A_51_P444666","217203","Tmem106a","transmembrane protein 106A",1.733e-08,3.099e-06,0.0056,3.5802,3.5802,5.8006,1.014e-05
"162","A_51_P198179","30935","Tor3a","torsin family 3, member A",1.731e-08,3.099e-06,0.0056,5.0215,5.0215,6.8919,2.201e-06
"163","A_51_P374203","66102","Cxcl16","C-X-C motif chemokine ligand 16",1.798e-08,3.182e-06,0.0057,3.8541,3.8541,7.3455,4.895e-07
"164","A_51_P464478","16190","Il4ra","interleukin 4 receptor, alpha",1.826e-08,3.216e-06,0.0057,4.249,4.249,7.909,2.351e-07
"165","A_51_P279232","72121","Dennd2d","DENN domain containing 2D",1.893e-08,3.299e-06,0.0057,4.6721,4.6721,7.2081,3.609e-07
"166","A_51_P504337","12495","Entpd1","ectonucleoside triphosphate diphosphohydrolase 1",1.891e-08,3.299e-06,0.0057,4.4371,4.4371,6.2945,4.246e-06
"167","A_51_P398766","14468","Gbp2b","guanylate binding protein 2b",1.945e-08,3.355e-06,0.0058,2.9143,2.9143,4.6426,1e-04
"168","A_51_P182796","21817","Tgm2","transglutaminase 2, C polypeptide",1.942e-08,3.355e-06,0.0058,3.7567,3.7567,7.0449,8.943e-07
"169","A_51_P193019","19073","Srgn","serglycin",2.022e-08,3.454e-06,0.0059,5.2946,5.2946,7.6556,1.916e-07
"170","A_51_P385099","21926","Tnf","tumor necrosis factor",2.032e-08,3.454e-06,0.0059,5.3944,5.3944,7.7846,1.478e-07
"171","A_52_P91447","11736","Ankfy1","ankyrin repeat and FYVE domain containing 1",2.055e-08,3.476e-06,0.0059,4.2294,4.2294,6.2708,3.556e-06
"172","A_51_P308681","76137","Mcur1","mitochondrial calcium uniporter regulator 1",2.068e-08,3.48e-06,0.0059,4.5632,4.5632,6.7875,1.161e-06
"173","A_52_P2754","11629","Aif1","allograft inflammatory factor 1",2.082e-08,3.487e-06,0.006,4.466,4.466,6.5608,2.422e-06
"174","A_52_P83905","13521","Slc26a2","solute carrier family 26 (sulfate transporter), member 2",2.1e-08,3.5e-06,0.006,5.3401,5.3401,8.3643,6.946e-08
"175","A_51_P128463","72690","Fam110d","family with sequence similarity 110, member D",2.307e-08,3.79e-06,0.0061,4.6214,4.6214,6.5505,1.526e-06
"176","A_51_P129006","12010","B2m","beta-2 microglobulin",2.308e-08,3.79e-06,0.0061,4.8628,4.8628,6.4897,3.634e-06
"177","A_52_P502717","319446","Dpep2","dipeptidase 2",2.32e-08,3.792e-06,0.0061,3.8027,3.8027,6.3109,4.101e-06
"178","A_51_P150195","74302","Mtmr3","myotubularin related protein 3",2.351e-08,3.824e-06,0.0061,3.3735,3.3735,4.8634,8.775e-05
"179","A_51_P437426","224109","Nrros","negative regulator of reactive oxygen species",2.392e-08,3.861e-06,0.0062,5.4219,5.4219,9.4255,1.048e-08
"180","A_52_P604613","14739","S1pr2","sphingosine-1-phosphate receptor 2",2.427e-08,3.886e-06,0.0062,4.3235,4.3235,8.6939,3.802e-08
"181","A_51_P120093","71982","Snx10","sorting nexin 10",2.535e-08,3.972e-06,0.0064,3.601,3.601,4.5948,1e-04
"182","A_52_P382854","217344","Rhbdf2","rhomboid 5 homolog 2",2.502e-08,3.972e-06,0.0063,3.9446,3.9446,8.1806,6.768e-08
"183","A_52_P455494","17113","M6pr","mannose-6-phosphate receptor, cation dependent",2.534e-08,3.972e-06,0.0063,4.2123,4.2123,5.3907,1.9e-05
