"","Entrez_ID","Gene_symbol","Gene_description","Chromosome","Map_location","Model_scientific_name","Model_common_name","Gene_function"
"11","229900","Gbp7","guanylate binding protein 7","3","3 66.69 cM","Mus musculus","house mouse","Predicted to enable GTP binding activity and GTPase activity. Acts upstream of or within adhesion of symbiont to host and defense response to other organism. Located in cytoplasmic vesicle and symbiont-containing vacuole membrane. Is expressed in thymus primordium. Orthologous to human GBP7 (guanylate binding protein 7). [provided by Alliance of Genome Resources, Apr 2022]"
"12","20128","Trim30a","tripartite motif-containing 30A","7","7 55.69 cM","Mus musculus","house mouse","Predicted to enable several functions, including protein homodimerization activity; transcription coactivator activity; and ubiquitin protein ligase activity. Involved in several processes, including negative regulation of NLRP3 inflammasome complex assembly; negative regulation of cytokine production; and protein autoubiquitination. Acts upstream of or within response to bacterium. Located in cytoplasm. Is expressed in genitourinary system and limb. Orthologous to human TRIM5 (tripartite motif containing 5). [provided by Alliance of Genome Resources, Apr 2022]"
"13","14972","H2-K1","histocompatibility 2, K1, K region","17","17 17.98 cM","Mus musculus","house mouse","Enables MHC class I protein binding activity and peptide antigen binding activity. Acts upstream of or within several processes, including antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent; antigen processing and presentation of exogenous peptide antigen via MHC class I; and positive regulation of T cell mediated cytotoxicity. Located in external side of plasma membrane. Is expressed in several structures, including brain; genitourinary system; hemolymphoid system gland; liver; and retina. Used to study myositis. Human ortholog(s) of this gene implicated in several diseases, including asthma (multiple); autoimmune disease (multiple); eye disease (multiple); human immunodeficiency virus infectious disease (multiple); and inner ear disease (multiple). Orthologous to several human genes including HLA-A (major histocompatibility complex, class I, A); HLA-E (major histocompatibility complex, class I, E); and HLA-F (major histocompatibility complex, class I, F). [provided by Alliance of Genome Resources, Apr 2022]"
"14","66141","Ifitm3","interferon induced transmembrane protein 3","7","7 86.25 cM","Mus musculus","house mouse","Involved in negative regulation of viral entry into host cell and response to virus. Acts upstream of or within defense response to other organism; negative regulation of cell population proliferation; and receptor-mediated endocytosis. Located in several cellular components, including apical part of cell; cell surface; and endoplasmic reticulum. Is expressed in several structures, including alimentary system; egg cylinder; embryo ectoderm; genitourinary system; and mesenchyme derived from lateral plate. Human ortholog(s) of this gene implicated in COVID-19; adenosquamous gallbladder carcinoma; and gallbladder adenocarcinoma. Orthologous to several human genes including IFITM3 (interferon induced transmembrane protein 3). [provided by Alliance of Genome Resources, Apr 2022]"
"15","100038882","Isg15","ISG15 ubiquitin-like modifier","4","4 88.61 cM","Mus musculus","house mouse","Enables protein tag. Involved in several processes, including ISG15-protein conjugation; defense response to other organism; and positive regulation of erythrocyte differentiation. Acts upstream of or within modification-dependent protein catabolic process and response to bacterium. Predicted to be located in extracellular region. Predicted to be part of cytosolic small ribosomal subunit. Predicted to be active in cytoplasm and nucleus. Human ortholog(s) of this gene implicated in immunodeficiency 38. Orthologous to human ISG15 (ISG15 ubiquitin like modifier). [provided by Alliance of Genome Resources, Apr 2022]"
"16","23833","Cd52","CD52 antigen","4","4 66.5 cM","Mus musculus","house mouse","Acts upstream of or within response to bacterium. Located in sperm midpiece. Is expressed in embryo mesenchyme and thymus primordium. Orthologous to human CD52 (CD52 molecule). [provided by Alliance of Genome Resources, Apr 2022]"
"17","231507","Plac8","placenta-specific 8","5","5 48.49 cM","Mus musculus","house mouse","Enables chromatin binding activity. Involved in positive regulation of cold-induced thermogenesis. Acts upstream of or within several processes, including brown fat cell differentiation; defense response to bacterium; and response to cold. Predicted to be located in nucleus. Is expressed in several structures, including extraembryonic component; gut; liver lobe; oculomotor nerve; and prostate gland lobe. Orthologous to human PLAC8 (placenta associated 8). [provided by Alliance of Genome Resources, Apr 2022]"
"18","99899","Ifi44","interferon-induced protein 44","3","3 76.91 cM","Mus musculus","house mouse","Acts upstream of or within response to bacterium. Predicted to be located in cytoplasm. Is expressed in central nervous system and retina. Orthologous to human IFI44 (interferon induced protein 44). [provided by Alliance of Genome Resources, Apr 2022]"
"19","16912","Psmb9","proteasome (prosome, macropain) subunit, beta type 9 (large multifunctional peptidase 2)","17","17 17.98 cM","Mus musculus","house mouse","Predicted to enable proteasome binding activity. Acts upstream of or within antigen processing and presentation and response to bacterium. Part of proteasome core complex and spermatoproteasome complex. Is expressed in thymus primordium. Human ortholog(s) of this gene implicated in autoimmune disease (multiple); lymphoma; and renal cell carcinoma. Orthologous to human PSMB9 (proteasome 20S subunit beta 9). [provided by Alliance of Genome Resources, Apr 2022]"
"20","15945","Cxcl10","C-X-C motif chemokine ligand 10","5","5 46.57 cM","Mus musculus","house mouse","Predicted to enable chemoattractant activity; chemokine receptor binding activity; and heparin binding activity. Acts upstream of or within several processes, including defense response to virus; negative regulation of myoblast differentiation; and negative regulation of myoblast fusion. Located in external side of plasma membrane and extracellular space. Is expressed in several structures, including alimentary system; axial skeleton; hemolymphoid system; and liver. Human ortholog(s) of this gene implicated in hepatitis B; middle cerebral artery infarction; and type 1 diabetes mellitus. Orthologous to human CXCL10 (C-X-C motif chemokine ligand 10). [provided by Alliance of Genome Resources, Apr 2022]"
"21","19039","Lgals3bp","lectin, galactoside-binding, soluble, 3 binding protein","11","11 83.14 cM","Mus musculus","house mouse","Predicted to enable scavenger receptor activity. Predicted to act upstream of or within cell adhesion. Located in extracellular space. Is expressed in several structures, including brain; genitourinary system; gut; integumental system; and liver and biliary system. Orthologous to human LGALS3BP (galectin 3 binding protein). [provided by Alliance of Genome Resources, Apr 2022]"
"22","20293","Ccl12","C-C motif chemokine ligand 12","11","11 49.9 cM","Mus musculus","house mouse","Enables CCR2 chemokine receptor binding activity. Involved in angiogenesis; inflammatory response; and monocyte chemotaxis. Predicted to be located in extracellular region. Predicted to be active in extracellular space. Is expressed in central nervous system and retina. Human ortholog(s) of this gene implicated in several diseases, including Henoch-Schoenlein purpura; aggressive periodontitis; autoimmune disease (multiple); gastrointestinal system cancer (multiple); and tuberculosis (multiple). Orthologous to human CCL2 (C-C motif chemokine ligand 2) and CCL8 (C-C motif chemokine ligand 8). [provided by Alliance of Genome Resources, Apr 2022]"
"23","20304","Ccl5","C-C motif chemokine ligand 5","11","11 50.66 cM","Mus musculus","house mouse","Enables CCR1 chemokine receptor binding activity. Involved in negative regulation of macrophage apoptotic process and positive regulation of monocyte chemotaxis. Acts upstream of or within inflammatory response; positive regulation of epithelial cell proliferation; and response to tumor necrosis factor. Located in cytoplasm and extracellular space. Is expressed in several structures, including central nervous system; gonad; hemolymphoid system; late tubule; and retina. Human ortholog(s) of this gene implicated in several diseases, including hepatitis B; hepatitis C; liver disease (multiple); pulmonary tuberculosis; and severe acute respiratory syndrome. Orthologous to human CCL5 (C-C motif chemokine ligand 5). [provided by Alliance of Genome Resources, Apr 2022]"
"24","58185","Rsad2","radical S-adenosyl methionine domain containing 2","12","12 9.69 cM","Mus musculus","house mouse","Predicted to enable 4 iron, 4 sulfur cluster binding activity and protein self-association. Involved in several processes, including negative regulation of viral genome replication; positive regulation of T-helper 2 cell cytokine production; and positive regulation of toll-like receptor signaling pathway. Located in endoplasmic reticulum and lipid droplet. Human ortholog(s) of this gene implicated in respiratory syncytial virus infectious disease. Orthologous to human RSAD2 (radical S-adenosyl methionine domain containing 2). [provided by Alliance of Genome Resources, Apr 2022]"
"25","80285","Parp9","poly (ADP-ribose) polymerase family, member 9","16","16 25.43 cM","Mus musculus","house mouse","Predicted to enable several functions, including ADP-D-ribose binding activity; STAT family protein binding activity; and pentosyltransferase activity. Involved in positive regulation of interferon-gamma-mediated signaling pathway. Predicted to be located in several cellular components, including mitochondrion; nucleoplasm; and site of DNA damage. Predicted to be part of protein-containing complex. Predicted to be active in cytoplasm and nucleus. Is expressed in several structures, including alimentary system; brain; immune system; nasal cavity; and urinary system. Orthologous to human PARP9 (poly(ADP-ribose) polymerase family member 9). [provided by Alliance of Genome Resources, Apr 2022]"
"26","67775","Rtp4","receptor transporter protein 4","16","16 14.55 cM","Mus musculus","house mouse","Predicted to enable olfactory receptor binding activity. Predicted to be involved in defense response to virus; detection of chemical stimulus involved in sensory perception of bitter taste; and establishment of protein localization to membrane. Predicted to be located in membrane. Predicted to be integral component of membrane. Predicted to be active in cytoplasm. Orthologous to human RTP4 (receptor transporter protein 4). [provided by Alliance of Genome Resources, Apr 2022]"
"27","236312","Ifi209","interferon activated gene 209","1","1 80.54 cM","Mus musculus","house mouse","Predicted to enable double-stranded DNA binding activity. Acts upstream of or within cellular response to interferon-beta. Predicted to be located in nucleus. Is expressed in embryo mesenchyme. [provided by Alliance of Genome Resources, Apr 2022]"
"28","107350","AW112010","expressed sequence AW112010","19","19 7.59 cM","Mus musculus","house mouse",""
"29","209387","Trim30d","tripartite motif-containing 30D","7","7 55.69 cM","Mus musculus","house mouse","Predicted to enable several functions, including protein homodimerization activity; transcription coactivator activity; and ubiquitin protein ligase activity. Predicted to be involved in several processes, including defense response to other organism; positive regulation of NF-kappaB transcription factor activity; and regulation of signal transduction. Predicted to be located in P-body. Predicted to be active in cytosol and nucleoplasm. Predicted to colocalize with omegasome. Orthologous to human TRIM5 (tripartite motif containing 5). [provided by Alliance of Genome Resources, Apr 2022]"
"30","22436","Xdh","xanthine dehydrogenase","17","17 45.25 cM","Mus musculus","house mouse","This gene encodes a member of the xanthine dehydrogenase protein family. The encoded protein has been identified as a moonlighting protein based on its ability to perform mechanistically distinct functions. The encoded protein exists as two distinct enzymatic forms, either as xanthine dehydrogenase, or as xanthine oxidase, and functions in purine degradation. Additional studies also suggest a role in adipogenesis, and a function as a structural protein in milk fat droplets in the lactating mammary gland. [provided by RefSeq, Jan 2014]"
"31","71586","Ifih1","interferon induced with helicase C domain 1","2","2 35.85 cM","Mus musculus","house mouse","Predicted to enable several functions, including RNA binding activity; identical protein binding activity; and zinc ion binding activity. Involved in innate immune response and response to virus. Predicted to be located in mitochondrion. Predicted to be active in cytoplasm. Used to study systemic lupus erythematosus. Human ortholog(s) of this gene implicated in Aicardi-Goutieres syndrome. Orthologous to human IFIH1 (interferon induced with helicase C domain 1). [provided by Alliance of Genome Resources, Apr 2022]"
"32","108670","Epsti1","epithelial stromal interaction 1","14","14 41.08 cM","Mus musculus","house mouse","Is expressed in central nervous system; retina; retina inner nuclear layer; and retina outer nuclear layer. Orthologous to human EPSTI1 (epithelial stromal interaction 1). [provided by Alliance of Genome Resources, Apr 2022]"
"33","19264","Ptprc","protein tyrosine phosphatase receptor type C","1","1 60.73 cM","Mus musculus","house mouse","Enables several functions, including heparan sulfate proteoglycan binding activity; heparin binding activity; and protein tyrosine phosphatase activity. Involved in several processes, including lymphocyte differentiation; positive regulation of macromolecule metabolic process; and regulation of signal transduction. Acts upstream of or within several processes, including lymphocyte differentiation; positive regulation of lymphocyte activation; and regulation of protein phosphorylation. Located in external side of plasma membrane; focal adhesion; and membrane raft. Is expressed in several structures, including 3rd branchial arch; alimentary system; cardiovascular system; hemolymphoid system; and placenta. Used to study systemic lupus erythematosus. Human ortholog(s) of this gene implicated in hepatitis C; multiple sclerosis; severe combined immunodeficiency; and severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-positive, Nk cell-positive. Orthologous to human PTPRC (protein tyrosine phosphatase receptor type C). [provided by Alliance of Genome Resources, Apr 2022]"
"34","66607","Ms4a4d","membrane-spanning 4-domains, subfamily A, member 4D","19","19 8.44 cM","Mus musculus","house mouse","Predicted to be located in Golgi apparatus; endoplasmic reticulum; and plasma membrane raft. Orthologous to human MS4A4A (membrane spanning 4-domains A4A). [provided by Alliance of Genome Resources, Apr 2022]"
"35","14938","Gzma","granzyme A","13","13 63.93 cM","Mus musculus","house mouse","Enables serine-type peptidase activity. Acts upstream of or within response to bacterium. Located in nucleus. Is expressed in thymus primordium. Orthologous to human GZMA (granzyme A). [provided by Alliance of Genome Resources, Apr 2022]"
"36","72310","Nkg7","natural killer cell group 7 sequence","7","7 28.25 cM","Mus musculus","house mouse","Predicted to be active in plasma membrane. Is expressed in ductus deferens; epididymis; esophagus; prostate gland; and thymus primordium. Orthologous to human NKG7 (natural killer cell granule protein 7). [provided by Alliance of Genome Resources, Apr 2022]"
"37","68774","Ms4a6d","membrane-spanning 4-domains, subfamily A, member 6D","19","19 8.45 cM","Mus musculus","house mouse","Predicted to be located in trans-Golgi network. Orthologous to several human genes including MS4A6A (membrane spanning 4-domains A6A). [provided by Alliance of Genome Resources, Apr 2022]"
"38","60533","Cd274","CD274 antigen","19","19 23.88 cM","Mus musculus","house mouse","The protein encoded by this gene is an immune inhibitory receptor ligand that is expressed by hematopoietic and non-hematopoietic cells, such as T cells and B cells and various types of tumor cells. The encoded protein is a type I transmembrane protein that has immunoglobulin V-like and C-like domains. Interaction of this ligand with its receptor inhibits T-cell activation and cytokine production. During infection or inflammation of normal tissue, this interaction is important for preventing autoimmunity by maintaining homeostasis of the immune response. In tumor microenvironments, this interaction provides an immune escape for tumor cells through cytotoxic T-cell inactivation. Mice deficient for this gene display a variety of phenotypes including decreased allogeneic fetal survival rates and severe experimental autoimmune encephalomyelitis. [provided by RefSeq, Sep 2015]"
"39","107526","Gimap4","GTPase, IMAP family member 4","6","6 23.66 cM","Mus musculus","house mouse","This gene encodes a protein belonging to the GTP-binding superfamily and to the immuno-associated nucleotide (IAN) subfamily of nucleotide-binding proteins. This gene exists within a cluster of other related genes located on mouse chromosome 6. This family member encodes a lymphoid signaling protein that functions to accelerate programmed T-cell death, which appears to correlate with the phosphorylation status of the protein. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Aug 2011]"
"40","57444","Isg20","interferon-stimulated protein","7","7 44.84 cM","Mus musculus","house mouse","Predicted to enable 3'-5' exonuclease activity and RNA binding activity. Predicted to be involved in defense response to virus; negative regulation of viral genome replication; and nucleobase-containing compound catabolic process. Predicted to act upstream of or within innate immune response and rRNA processing. Predicted to be located in cytoplasm and nuclear lumen. Predicted to be active in nucleus. Is expressed in liver lobe. Orthologous to human ISG20 (interferon stimulated exonuclease gene 20). [provided by Alliance of Genome Resources, Apr 2022]"
"41","16391","Irf9","interferon regulatory factor 9","14","14 28.19 cM","Mus musculus","house mouse","Predicted to enable DNA-binding transcription factor activity, RNA polymerase II-specific and RNA polymerase II cis-regulatory region sequence-specific DNA binding activity. Predicted to be involved in immune system process and regulation of transcription by RNA polymerase II. Predicted to be located in cytosol. Predicted to be active in nucleus. Is expressed in several structures, including alimentary system; central nervous system; genitourinary system; hemolymphoid system gland; and sensory organ. Human ortholog(s) of this gene implicated in immunodeficiency 65. Orthologous to human IRF9 (interferon regulatory factor 9). [provided by Alliance of Genome Resources, Apr 2022]"
"42","13058","Cybb","cytochrome b-245, beta polypeptide","X","X 4.3 cM","Mus musculus","house mouse","This gene encodes the heavy chain component of a heterodimeric transmembrane ion transporter composed of both a heavy and a light chain. This transporter mediates the transfer of electrons from nicotinamide adenine dinucleotide phosphate (NADPH) to oxygen to generate superoxide. This reaction is important in the innate immune response to pathogens. However, increased activity of the encoded protein also leads to the generation of reactive oxygen species that result in oxidative stress and can cause tissue damage. Conversely, loss of function of the related gene in human causes chronic granulomatous disease. Alternative splicing results in multiple transcript variants, although the full-length nature of some of these variants has not been determined. [provided by RefSeq, May 2013]"
"43","231655","Oasl1","2'-5' oligoadenylate synthetase-like 1","5","5 55.99 cM","Mus musculus","house mouse","Enables double-stranded RNA binding activity. Acts upstream of or within interleukin-27-mediated signaling pathway. Predicted to be located in cytoplasm and nucleolus. Predicted to be active in cytosol; membrane; and nucleoplasm. Is expressed in testis. Orthologous to human OASL (2'-5'-oligoadenylate synthetase like). [provided by Alliance of Genome Resources, Apr 2022]"
"44","243771","Parp12","poly (ADP-ribose) polymerase family, member 12","6","6 17.85 cM","Mus musculus","house mouse","Predicted to enable protein ADP-ribosylase activity. Predicted to be involved in protein auto-ADP-ribosylation and protein mono-ADP-ribosylation. Predicted to act upstream of or within protein ADP-ribosylation. Predicted to be located in nucleus. Is expressed in early conceptus; gallbladder; gut; metanephros; and reproductive system. Orthologous to human PARP12 (poly(ADP-ribose) polymerase family member 12). [provided by Alliance of Genome Resources, Apr 2022]"
"45","246256","Fcgr4","Fc receptor, IgG, low affinity IV","1","1 78.53 cM","Mus musculus","house mouse","Enables IgE receptor activity and IgG receptor activity. Involved in neutrophil activation and positive regulation of bone resorption. Located in cell surface. Is expressed in liver. Human ortholog(s) of this gene implicated in several diseases, including allergic disease (multiple); autoimmune disease (multiple); glomerulonephritis (multiple); hematologic cancer (multiple); and immunodeficiency 20. Orthologous to human FCGR3A (Fc fragment of IgG receptor IIIa) and FCGR3B (Fc fragment of IgG receptor IIIb). [provided by Alliance of Genome Resources, Apr 2022]"
"46","16859","Lgals9","lectin, galactose binding, soluble 9","11","11 46.74 cM","Mus musculus","house mouse","Enables several functions, including carbohydrate binding activity; galactoside binding activity; and protein serine/threonine kinase activator activity. Involved in several processes, including regulation of cytokine production; regulation of defense response; and regulation of leukocyte activation. Located in cytoplasm and nucleus. Is expressed in several structures, including cardiovascular system; hemolymphoid system; intestine; liver; and metanephros. Orthologous to several human genes including LGALS9 (galectin 9). [provided by Alliance of Genome Resources, Apr 2022]"
"47","16819","Lcn2","lipocalin 2","2","2 22.09 cM","Mus musculus","house mouse","Enables iron ion binding activity. Involved in innate immune response; positive regulation of cold-induced thermogenesis; and siderophore transport. Acts upstream of or within extrinsic apoptotic signaling pathway in absence of ligand; response to bacterium; and response to virus. Located in extracellular space. Is expressed in several structures, including genitourinary system; gut; liver; lung; and spleen. Human ortholog(s) of this gene implicated in intrahepatic cholangiocarcinoma and urinary tract infection. Orthologous to human LCN2 (lipocalin 2). [provided by Alliance of Genome Resources, Apr 2022]"
"48","234311","Ddx60","DExD/H box helicase 60","8","8 31.51 cM","Mus musculus","house mouse","Enables RNA binding activity. Acts upstream of or within defense response to virus. Located in cytoplasm. Is expressed in lens. Orthologous to human DDX60 (DExD/H-box helicase 60). [provided by Alliance of Genome Resources, Apr 2022]"
"49","15958","Ifit2","interferon-induced protein with tetratricopeptide repeats 2","19","19 29.73 cM","Mus musculus","house mouse","Predicted to enable RNA binding activity. Involved in response to virus. Acts upstream of or within cellular response to interferon-alpha. Predicted to be located in endoplasmic reticulum. Predicted to be active in cytosol. Is expressed in several structures, including alimentary system; brain; genitourinary system; integumental system; and respiratory system. Orthologous to human IFIT2 (interferon induced protein with tetratricopeptide repeats 2). [provided by Alliance of Genome Resources, Apr 2022]"
"50","16913","Psmb8","proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)","17","17 17.98 cM","Mus musculus","house mouse","Predicted to enable endopeptidase activity. Involved in fat cell differentiation. Acts upstream of or within antigen processing and presentation. Part of proteasome core complex and spermatoproteasome complex. Is expressed in thymus primordium. Human ortholog(s) of this gene implicated in JMP syndrome. Orthologous to human PSMB8 (proteasome 20S subunit beta 8). [provided by Alliance of Genome Resources, Apr 2022]"
"51","15042","H2-T24","histocompatibility 2, T region locus 24","17","17 18.84 cM","Mus musculus","house mouse","Predicted to enable peptide antigen binding activity and signaling receptor binding activity. Predicted to be involved in several processes, including antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent; antigen processing and presentation of endogenous peptide antigen via MHC class Ib; and positive regulation of T cell mediated cytotoxicity. Predicted to be active in external side of plasma membrane and extracellular space. Is expressed in several structures, including brain; genitourinary system; hemolymphoid system gland; liver; and small intestine. [provided by Alliance of Genome Resources, Apr 2022]"
"52","14939","Gzmb","granzyme B","14","14 28.19 cM","Mus musculus","house mouse","This gene encodes a member of the granzyme subfamily of proteins, part of the peptidase S1 family of serine proteases. The encoded preproprotein is secreted by natural killer (NK) cells and cytotoxic T lymphocytes (CTLs) and proteolytically processed to generate the active protease, which induces target cell apoptosis. This protein also processes cytokines and degrades extracellular matrix proteins, and these roles are implicated in chronic inflammation and wound healing. Mice lacking a functional copy of this gene exhibit impaired immune cell-mediated cytolysis. [provided by RefSeq, Sep 2016]"
"53","54123","Irf7","interferon regulatory factor 7","7","7 86.57 cM","Mus musculus","house mouse","Enables DNA-binding transcription factor activity, RNA polymerase II-specific and cis-regulatory region sequence-specific DNA binding activity. Involved in defense response to other organism; positive regulation of transcription, DNA-templated; and regulation of toll-like receptor signaling pathway. Acts upstream of or within immunoglobulin mediated immune response; positive regulation of type I interferon production; and positive regulation of type I interferon-mediated signaling pathway. Predicted to be located in cytosol and nucleoplasm. Predicted to be active in nucleus. Is expressed in apical ectodermal ridge; embryo; liver; and ureter. Human ortholog(s) of this gene implicated in immunodeficiency 39. Orthologous to human IRF7 (interferon regulatory factor 7). [provided by Alliance of Genome Resources, Apr 2022]"
"54","14960","H2-Aa","histocompatibility 2, class II antigen A, alpha","17","17 17.98 cM","Mus musculus","house mouse","Enables peptide antigen binding activity. Involved in response to interferon-gamma. Acts upstream of or within antigen processing and presentation of exogenous peptide antigen via MHC class II and positive regulation of T cell differentiation. Located in external side of plasma membrane and lysosome. Part of MHC class II protein complex. Is expressed in central nervous system; retina; and thymus primordium. Human ortholog(s) of this gene implicated in several diseases, including autoimmune disease (multiple); gastrointestinal system cancer (multiple); glomerulonephritis (multiple); hematologic cancer (multiple); and systemic scleroderma (multiple). Orthologous to several human genes including HLA-DQA1 (major histocompatibility complex, class II, DQ alpha 1). [provided by Alliance of Genome Resources, Apr 2022]"
"55","70110","Ifi35","interferon-induced protein 35","11","11 65.07 cM","Mus musculus","house mouse","Predicted to enable identical protein binding activity. Involved in positive regulation of NIK/NF-kappaB signaling; positive regulation of inflammatory response; and positive regulation of innate immune response. Located in extracellular space. Is expressed in bladder. Orthologous to human IFI35 (interferon induced protein 35). [provided by Alliance of Genome Resources, Apr 2022]"
"56","67742","Samsn1","SAM domain, SH3 domain and nuclear localization signals, 1","16","16 43.36 cM","Mus musculus","house mouse","Predicted to enable phosphotyrosine residue binding activity. Involved in negative regulation of B cell activation; negative regulation of adaptive immune response; and negative regulation of peptidyl-tyrosine phosphorylation. Located in cytosol and nucleus. Is expressed in several structures, including cardiovascular system; mesonephros; nervous system; sensory organ; and surface ectoderm. Orthologous to human SAMSN1 (SAM domain, SH3 domain and nuclear localization signals 1). [provided by Alliance of Genome Resources, Apr 2022]"
